ndcg@1,ndcg@5,ndcg@10,precision@1,precision@5,precision@10,fit_time,seed,algorithm,dataset
0.0,0.0,0.0,0.0,0.0,0.0,22.17677140235901,44,ItemKNN,AmazonVideoGames
0.03373791400946307,0.022129488827495648,0.0223146879363147,0.03373791400946307,0.01917300966879243,0.015902077761777416,3.411156177520752,44,Pop,AmazonVideoGames
0.0,0.0,0.0,0.0,0.0,0.0,22.386401891708374,55,ALS,AmazonVideoGames
0.0,0.0,0.0,0.0,0.0,0.0,21.28816533088684,55,ItemKNN,AmazonVideoGames
0.02921209627648632,0.02035275742860229,0.021193611416146646,0.02921209627648632,0.018514708907632176,0.015490639786052252,3.5595192909240723,55,Pop,AmazonVideoGames
0.006493506493506494,0.006102132505624065,0.005128812796479239,0.006493506493506494,0.005194805194805195,0.004220779220779221,1.190706491470337,11,ALS,LastFM
0.006493506493506494,0.006102132505624065,0.005128812796479239,0.006493506493506494,0.005194805194805195,0.004220779220779221,0.9698805809020996,11,ItemKNN,LastFM
0.1038961038961039,0.08789023544803977,0.0888118284407169,0.1038961038961039,0.08181818181818183,0.07954545454545454,0.2620081901550293,11,Pop,LastFM
0.02287581699346405,0.030707689095298547,0.02626084416525063,0.02287581699346405,0.034640522875816995,0.026143790849673203,1.1830012798309326,22,ALS,LastFM
0.02287581699346405,0.030707689095298547,0.02626084416525063,0.02287581699346405,0.034640522875816995,0.026143790849673203,0.9520118236541748,22,ItemKNN,LastFM
0.09477124183006536,0.08860737308464406,0.08749240645732659,0.09477124183006536,0.0869281045751634,0.08300653594771241,0.26467299461364746,22,Pop,LastFM
0.016181229773462782,0.009847915137203128,0.0070544310685996415,0.016181229773462782,0.007766990291262137,0.004854368932038835,1.078007698059082,33,ALS,LastFM
0.016181229773462782,0.009847915137203128,0.0070544310685996415,0.016181229773462782,0.007766990291262137,0.004854368932038835,0.8927249908447266,33,ItemKNN,LastFM
0.09385113268608414,0.07926939917594436,0.07693080446741694,0.09385113268608414,0.07637540453074435,0.07087378640776698,0.2705202102661133,33,Pop,LastFM
0.016233766233766232,0.016047273764478436,0.012119136151398134,0.016233766233766232,0.015584415584415584,0.01038961038961039,1.2257239818572998,44,ALS,LastFM
0.016233766233766232,0.016047273764478436,0.012119136151398134,0.016233766233766232,0.015584415584415584,0.01038961038961039,1.1385431289672852,44,ItemKNN,LastFM
0.11038961038961038,0.10049370094388559,0.1073136602732607,0.11038961038961038,0.09675324675324674,0.10259740259740259,0.2548408508300781,44,Pop,LastFM
0.0,0.0012821343079381933,0.022577118223621503,0.0,0.001954397394136808,0.03192182410423453,1.2407093048095703,55,ALS,LastFM
0.0,0.0012821343079381933,0.022577118223621503,0.0,0.001954397394136808,0.03192182410423453,1.0333495140075684,55,ItemKNN,LastFM
0.10097719869706841,0.09263336012543222,0.0983246085470736,0.10097719869706841,0.08859934853420197,0.09250814332247556,0.2625107765197754,55,Pop,LastFM
