dataset,algorithm,metric,min,max,std,range
ml100k,ALS,Precision@10,0.14658848614072498,0.15543710021321963,0.0037636433239806684,0.008848614072494654
ml100k,ALS,Precision@5,0.1697228144989339,0.17334754797441365,0.001530138602815295,0.0036247334754797578
ml100k,ALS,nDCG@1,0.19509594882729211,0.23773987206823027,0.016748261737019595,0.04264392324093816
ml100k,ALS,nDCG@10,0.20133445337843034,0.21596898044111112,0.005742747926117443,0.014634527062680786
ml100k,ALS,nDCG@5,0.18778452206201013,0.20194398142965564,0.005874905693471541,0.01415945936764551
ml100k,ItemKNN,Precision@1,0.07356076759061833,0.07995735607675906,0.0023357038699580667,0.0063965884861407335
ml100k,ItemKNN,Precision@10,0.033582089552238806,0.037526652452025584,0.0018335647302766466,0.0039445628997867785
ml100k,ItemKNN,Precision@5,0.028144989339019193,0.03070362473347548,0.0010553832555023099,0.002558635394456287
ml100k,ItemKNN,nDCG@1,0.07356076759061833,0.07995735607675906,0.0023357038699580667,0.0063965884861407335
ml100k,ItemKNN,nDCG@10,0.041622730958884975,0.04512449093436566,0.0016679490862141991,0.0035017599754806825
ml100k,ItemKNN,nDCG@5,0.03658929224478513,0.039525996041513016,0.0012278814291727471,0.002936703796727884
ml100k,Pop,Precision@1,0.2025586353944563,0.21215351812366737,0.0036930720843685993,0.00959488272921108
ml100k,Pop,Precision@10,0.114818763326226,0.12281449893390192,0.0032691163650070475,0.007995735607675927
ml100k,Pop,Precision@5,0.144136460554371,0.15095948827292113,0.0028906792887134127,0.006823027718550145
ml100k,Pop,nDCG@1,0.2025586353944563,0.21215351812366737,0.0036930720843685993,0.00959488272921108
ml100k,Pop,nDCG@10,0.15150735707688798,0.16076914058022165,0.00378625162422139,0.009261783503333676
ml100k,Pop,nDCG@5,0.16092437512520064,0.16781800737263006,0.0026470740295975194,0.006893632247429421
