dataset,algorithm,seed,metric,value
lastfm,ALS,1,nDCG@10,0.1176786613126691
lastfm,ItemKNN,1,Precision@1,0.0009174311926605505
lastfm,ItemKNN,1,nDCG@1,0.0009174311926605505
lastfm,ItemKNN,1,Precision@5,0.003669724770642202
lastfm,ItemKNN,1,nDCG@5,0.003007708014460886
lastfm,ItemKNN,1,Precision@10,0.0034862385321100917
lastfm,ItemKNN,1,nDCG@10,0.0036587580600394914
lastfm,Pop,1,Precision@1,0.03486238532110092
lastfm,Pop,1,nDCG@1,0.03486238532110092
lastfm,Pop,1,Precision@5,0.04513761467889908
lastfm,Pop,1,nDCG@5,0.05290388881415335
lastfm,Pop,1,Precision@10,0.03880733944954129
lastfm,Pop,1,nDCG@10,0.058992174858391276
lastfm,ALS,7,Precision@1,0.12385321100917432
lastfm,ALS,7,nDCG@1,0.12385321100917432
lastfm,ALS,7,Precision@5,0.0944954128440367
lastfm,ALS,7,nDCG@5,0.11594836300836388
lastfm,ALS,7,Precision@10,0.07880733944954128
lastfm,ALS,7,nDCG@10,0.12199294073055864
lastfm,ItemKNN,7,Precision@1,0.003669724770642202
lastfm,ItemKNN,7,nDCG@1,0.003669724770642202
lastfm,ItemKNN,7,Precision@5,0.005871559633027523
lastfm,ItemKNN,7,nDCG@5,0.005549899265401968
lastfm,ItemKNN,7,Precision@10,0.004311926605504588
lastfm,ItemKNN,7,nDCG@10,0.005485444395553964
lastfm,Pop,7,Precision@1,0.04220183486238532
lastfm,Pop,7,nDCG@1,0.04220183486238532
lastfm,Pop,7,Precision@5,0.04385321100917432
lastfm,Pop,7,nDCG@5,0.04966204523981296
lastfm,Pop,7,Precision@10,0.038073394495412846
lastfm,Pop,7,nDCG@10,0.056885590841942876
lastfm,ALS,21,Precision@1,0.11100917431192661
lastfm,ALS,21,nDCG@1,0.11100917431192661
lastfm,ALS,21,Precision@5,0.0926605504587156
lastfm,ALS,21,nDCG@5,0.11334380666954097
lastfm,ALS,21,Precision@10,0.07486238532110091
lastfm,ALS,21,nDCG@10,0.11915054335934723
lastfm,ItemKNN,21,Precision@1,0.0027522935779816515
lastfm,ItemKNN,21,nDCG@1,0.0027522935779816515
lastfm,ItemKNN,21,Precision@5,0.004954128440366972
lastfm,ItemKNN,21,nDCG@5,0.0044410053332898086
lastfm,ItemKNN,21,Precision@10,0.003486238532110092
lastfm,ItemKNN,21,nDCG@10,0.00433478820812299
lastfm,Pop,21,Precision@1,0.044954128440366975
lastfm,Pop,21,nDCG@1,0.044954128440366975
lastfm,Pop,21,Precision@5,0.041651376146788995
lastfm,Pop,21,nDCG@5,0.051100658963710854
lastfm,Pop,21,Precision@10,0.03688073394495413
lastfm,Pop,21,nDCG@10,0.05645310606482665
lastfm,ALS,42,Precision@1,0.11834862385321102
lastfm,ALS,42,nDCG@1,0.11834862385321102
lastfm,ALS,42,Precision@5,0.09779816513761468
lastfm,ALS,42,nDCG@5,0.11699224016622901
lastfm,ALS,42,Precision@10,0.08009174311926605
lastfm,ALS,42,nDCG@10,0.12256462491860447
lastfm,ItemKNN,42,Precision@1,0.003669724770642202
lastfm,ItemKNN,42,nDCG@1,0.003669724770642202
lastfm,ItemKNN,42,Precision@5,0.0047706422018348625
lastfm,ItemKNN,42,nDCG@5,0.004561084537476133
lastfm,ItemKNN,42,Precision@10,0.004678899082568808
lastfm,ItemKNN,42,nDCG@10,0.005459254467436276
lastfm,Pop,42,Precision@1,0.05137614678899083
lastfm,Pop,42,nDCG@1,0.05137614678899083
lastfm,Pop,42,Precision@5,0.042018348623853216
lastfm,Pop,42,nDCG@5,0.0522529089322357
lastfm,Pop,42,Precision@10,0.03853211009174312
lastfm,Pop,42,nDCG@10,0.06013828598596992
lastfm,ALS,84,Precision@1,0.11926605504587157
lastfm,ALS,84,nDCG@1,0.11926605504587157
lastfm,ALS,84,Precision@5,0.09229357798165137
lastfm,ALS,84,nDCG@5,0.11421361856347167
lastfm,ALS,84,Precision@10,0.07651376146788991
lastfm,ALS,84,nDCG@10,0.11989689826322895
lastfm,ItemKNN,84,Precision@1,0.001834862385321101
lastfm,ItemKNN,84,nDCG@1,0.001834862385321101
lastfm,ItemKNN,84,Precision@5,0.005321100917431193
lastfm,ItemKNN,84,nDCG@5,0.0041439516996149
lastfm,ItemKNN,84,Precision@10,0.003577981651376147
lastfm,ItemKNN,84,nDCG@10,0.0037659149999945056
lastfm,Pop,84,Precision@1,0.03394495412844037
lastfm,Pop,84,nDCG@1,0.03394495412844037
lastfm,Pop,84,Precision@5,0.03724770642201835
lastfm,Pop,84,nDCG@5,0.043709236424525934
lastfm,Pop,84,Precision@10,0.034495412844036705
lastfm,Pop,84,nDCG@10,0.05176658858784002
