dataset,algorithm,seed,Precision@1,nDCG@1,Precision@5,nDCG@5,Precision@10,nDCG@10
lastfm,Pop,1,0.03486238532110092,0.03486238532110092,0.04513761467889908,0.05290388881415335,0.03880733944954129,0.058992174858391276
lastfm,ALS,7,0.12385321100917432,0.12385321100917432,0.0944954128440367,0.11594836300836388,0.07880733944954128,0.12199294073055864
lastfm,ItemKNN,7,0.003669724770642202,0.003669724770642202,0.005871559633027523,0.005549899265401968,0.004311926605504588,0.005485444395553964
lastfm,Pop,7,0.04220183486238532,0.04220183486238532,0.04385321100917432,0.04966204523981296,0.038073394495412846,0.056885590841942876
lastfm,ALS,21,0.11100917431192661,0.11100917431192661,0.0926605504587156,0.11334380666954097,0.07486238532110091,0.11915054335934723
lastfm,ItemKNN,21,0.0027522935779816515,0.0027522935779816515,0.004954128440366972,0.0044410053332898086,0.003486238532110092,0.00433478820812299
lastfm,Pop,21,0.044954128440366975,0.044954128440366975,0.041651376146788995,0.051100658963710854,0.03688073394495413,0.05645310606482665
lastfm,ALS,42,0.11834862385321102,0.11834862385321102,0.09779816513761468,0.11699224016622901,0.08009174311926605,0.12256462491860447
lastfm,ItemKNN,42,0.003669724770642202,0.003669724770642202,0.0047706422018348625,0.004561084537476133,0.004678899082568808,0.005459254467436276
lastfm,Pop,42,0.05137614678899083,0.05137614678899083,0.042018348623853216,0.0522529089322357,0.03853211009174312,0.06013828598596992
lastfm,ALS,84,0.11926605504587157,0.11926605504587157,0.09229357798165137,0.11421361856347167,0.07651376146788991,0.11989689826322895
lastfm,ItemKNN,84,0.001834862385321101,0.001834862385321101,0.005321100917431193,0.0041439516996149,0.003577981651376147,0.0037659149999945056
lastfm,Pop,84,0.03394495412844037,0.03394495412844037,0.03724770642201835,0.043709236424525934,0.034495412844036705,0.05176658858784002
