dataset,algorithm,seed,kind,n_recs,distinct_scores,score_std,train_test_overlap,candidate_leakage_probe,runtime_s,rerun_P@1,rerun_nDCG@1,indep_P@1,indep_nDCG@1,rerun_P@5,rerun_nDCG@5,indep_P@5,indep_nDCG@5,rerun_P@10,rerun_nDCG@10,indep_P@10,indep_nDCG@10,reported_P@1,reported_nDCG@1,reported_P@5,reported_nDCG@5,reported_P@10,reported_nDCG@10
ml100k,Pop,21,node,9380,34,49.16111490943164,0,0,0.6,0.21215351812366737,0.21215351812366737,0.21215351812366737,0.21215351812366737,0.14434968017057573,0.16303921447947534,0.14434968017057573,0.16303921447947534,0.114818763326226,0.15150735707688798,0.114818763326226,0.15150735707688795,0.2121535181236673,0.2121535181236673,0.1443496801705757,0.1630392144794753,0.114818763326226,0.1515073570768879
ml100k,ItemKNN_implicit,21,counterfactual,9380,9380,2.511307766082171,0,0,2.6,0.29637526652452023,0.29637526652452023,0.29637526652452023,0.29637526652452023,0.2191897654584222,0.2508366692837303,0.2191897654584222,0.2508366692837303,0.17953091684434969,0.2494102758672233,0.17953091684434969,0.24941027586722328
ml100k,ALS,42,node,9380,9380,0.2536483640582505,0,0,0.9,0.21321961620469082,0.21321961620469082,0.21321961620469082,0.21321961620469082,0.17697228144989338,0.20051242241015813,0.17697228144989338,0.20051242241015813,0.15565031982942434,0.21418899469129474,0.15565031982942434,0.2141889946912947,0.2377398720682302,0.2377398720682302,0.1733475479744136,0.2019439814296556,0.1465884861407249,0.2105243209768384
ml100k,ItemKNN,42,node,9380,1,0.0,0,0,3.1,0.07569296375266525,0.07569296375266525,0.07569296375266525,0.07569296375266525,0.029211087420042643,0.037847305787453635,0.029211087420042643,0.037847305787453635,0.033582089552238806,0.04284900594932092,0.033582089552238806,0.04284900594932092,0.0756929637526652,0.0756929637526652,0.0292110874200426,0.0378473057874536,0.0335820895522388,0.0428490059493209
ml100k,Pop,42,node,9380,34,49.29521841584493,0,0,0.7,0.2046908315565032,0.2046908315565032,0.2046908315565032,0.2046908315565032,0.15095948827292113,0.16781800737263006,0.15095948827292113,0.16781800737263006,0.12281449893390192,0.16076914058022165,0.12281449893390192,0.16076914058022163,0.2046908315565032,0.2046908315565032,0.1509594882729211,0.16781800737263,0.1228144989339019,0.1607691405802216
ml100k,ItemKNN_implicit,42,counterfactual,9380,9380,2.5260993597481263,0,0,2.8,0.3091684434968017,0.3091684434968017,0.3091684434968017,0.3091684434968017,0.22238805970149256,0.2576364938767755,0.22238805970149256,0.2576364938767755,0.1760127931769723,0.2514802047839174,0.1760127931769723,0.2514802047839174
ml100k,ALS,84,node,9380,9380,0.25227423190965914,0,0,1.0,0.20788912579957355,0.20788912579957355,0.20788912579957355,0.20788912579957355,0.1673773987206823,0.1916887562427428,0.1673773987206823,0.1916887562427428,0.14808102345415775,0.20719697181063407,0.14808102345415775,0.20719697181063407,0.2238805970149253,0.2238805970149253,0.1722814498933902,0.1975786310075129,0.1554371002132196,0.2159689804411111
ml100k,ItemKNN,84,node,9380,1,0.0,0,0,2.9,0.0767590618336887,0.0767590618336887,0.0767590618336887,0.0767590618336887,0.028144989339019193,0.03658929224478513,0.028144989339019193,0.03658929224478513,0.03464818763326226,0.041622730958884975,0.03464818763326226,0.04162273095888497,0.0767590618336887,0.0767590618336887,0.0281449893390191,0.0365892922447851,0.0346481876332622,0.0416227309588849
ml100k,Pop,84,node,9380,33,48.168743261571464,0,0,0.6,0.2025586353944563,0.2025586353944563,0.2025586353944563,0.2025586353944563,0.14797441364605546,0.16437637607468789,0.14797441364605546,0.16437637607468789,0.12238805970149254,0.15814856147660486,0.12238805970149254,0.15814856147660483,0.2025586353944563,0.2025586353944563,0.1479744136460554,0.1643763760746878,0.1223880597014925,0.1581485614766048
ml100k,ItemKNN_implicit,84,counterfactual,9380,9380,2.50415848250659,0,0,2.7,0.3326226012793177,0.3326226012793177,0.3326226012793177,0.3326226012793177,0.22238805970149256,0.2628597867030683,0.22238805970149256,0.2628597867030683,0.17697228144989338,0.2566669649761922,0.17697228144989338,0.2566669649761921
lastfm,ALS,1,node,10900,10899,0.2741333270421652,0,0,1.4,0.13027522935779817,0.13027522935779817,0.13027522935779817,0.13027522935779817,0.09614678899082568,0.11816751069691481,0.09614678899082568,0.11816751069691481,0.08064220183486238,0.1265720815292918,0.08064220183486238,0.1265720815292918,0.1082568807339449,0.1082568807339449,0.0893577981651376,0.1084138833847198,0.0773394495412844,0.1176786613126691
